"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2ZaTpgdhU8MKpiujnBGPoa","綺羅キラー","spotify:artist:38WbKH6oKAZskBhqDFA8Uj, spotify:artist:1PhE6rv0146ZTQosoPDjk8","ZUTOMAYO, Mori Calliope","spotify:album:24HE9Q8LrZupbkTmux0U9O","綺羅キラー","spotify:artist:38WbKH6oKAZskBhqDFA8Uj","ZUTOMAYO","2022-12-15","https://i.scdn.co/image/ab67616d0000b273af476cfef0da5742b32e3176","1","1","253066","","false","47","JPPO02204831","spotify:user:andreivillaro","2024-02-18T09:30:30Z"
"spotify:track:7zbfS30vKiHU8oBs6Wi1Qp","勘冴えて悔しいわ","spotify:artist:38WbKH6oKAZskBhqDFA8Uj","ZUTOMAYO","spotify:album:4myzXA54fPm89hpW41YkOS","潜潜話","spotify:artist:38WbKH6oKAZskBhqDFA8Uj","ZUTOMAYO","2019-10-29","https://i.scdn.co/image/ab67616d0000b273ced490e566f828ee9ca8d263","1","2","236960","","false","55","JPPO01901535","spotify:user:andreivillaro","2024-02-18T09:30:46Z"
"spotify:track:2s81NRdaV4W6ApSEL6NUaA","Cross†Genocide","spotify:artist:6tILKatjRX2qgoBkobQMm8, spotify:artist:36Wr5fXFjrXnEqWuEnboYq","HyuN, 蔡花零","spotify:album:0iiVXlMBS2eSEMwRzAfJfR","Cross†Soul","spotify:artist:6tILKatjRX2qgoBkobQMm8","HyuN","2022-01-10","https://i.scdn.co/image/ab67616d0000b273216861a1bbf32da4e74c35c2","1","6","143879","https://p.scdn.co/mp3-preview/1fd4471d7b1870185267f4fc61f37ce510c30521?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","KRC772100144","spotify:user:andreivillaro","2024-02-27T05:44:42Z"
"spotify:track:5vCNAauCaecW0tT2mZDLG9","KING","spotify:artist:1k5LyiTCRzPjORzcgHqJxF","Kanaria","spotify:album:5caSwBLTwvq0mk7cQwtf2O","KING","spotify:artist:1k5LyiTCRzPjORzcgHqJxF","Kanaria","2020-12-09","https://i.scdn.co/image/ab67616d0000b2734465e20d27519e1b9dacf366","1","2","135500","https://p.scdn.co/mp3-preview/c7a7524bfd4b15df82102d1eb4d1a1092f370d4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","JPX562000062","spotify:user:andreivillaro","2024-02-28T05:43:32Z"
"spotify:track:2fJbss5uUmmBqn7qFkmyWj","残機","spotify:artist:38WbKH6oKAZskBhqDFA8Uj","ZUTOMAYO","spotify:album:1mtciArMoiLPqOdflY5dWQ","沈香学","spotify:artist:38WbKH6oKAZskBhqDFA8Uj","ZUTOMAYO","2023-06-06","https://i.scdn.co/image/ab67616d0000b273f5c5c21c1bd67ae9fc86064c","1","2","230373","","false","56","JPPO02203871","spotify:user:andreivillaro","2024-02-28T05:44:04Z"
"spotify:track:2sF5yanTLnJjmbvL9hy9LK","Non-Breath Oblige","spotify:artist:6hJkIUy4LmRN3l0Ld99M5x","Yuu Miyashita","spotify:album:09GJTLF1liNZeS9i1nb7qe","Non-Breath Oblige","spotify:artist:6hJkIUy4LmRN3l0Ld99M5x","Yuu Miyashita","2022-01-19","https://i.scdn.co/image/ab67616d0000b273ffc7754fae89bbb3c14c6632","1","1","207400","https://p.scdn.co/mp3-preview/a6925ec59e31497b182c8bd33f5249fa52a43b01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","JPPC02111722","spotify:user:andreivillaro","2024-02-28T20:14:15Z"
"spotify:track:1LNGuCg01CHg9ErApmz92R","Being low as dirt, taking what's important from me","spotify:artist:0PHf0oiic0xAnCrRuLTtHl","TUYU","spotify:album:4ipmShlnFWIXMvMdmYcF8O","Being low as dirt, taking what's important from me","spotify:artist:0PHf0oiic0xAnCrRuLTtHl","TUYU","2020-08-24","https://i.scdn.co/image/ab67616d0000b273187538f10bf657f90c229818","1","1","192266","https://p.scdn.co/mp3-preview/618f1008a237f2e4473e3db8d8ef6ad98bb05f56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","TCJPM2037409","spotify:user:andreivillaro","2024-03-12T03:15:07Z"
"spotify:track:3sgJTMHqDwxfsBIMqvkXKE","お勉強しといてよ","spotify:artist:38WbKH6oKAZskBhqDFA8Uj","ZUTOMAYO","spotify:album:47anQ0XC69gwTModnqWQsr","ぐされ","spotify:artist:38WbKH6oKAZskBhqDFA8Uj","ZUTOMAYO","2021-02-10","https://i.scdn.co/image/ab67616d0000b27345e670c7e25b4d0c1891d283","1","3","279200","","false","55","JPPO02001468","spotify:user:andreivillaro","2024-03-12T03:15:48Z"
"spotify:track:4ZtFanR9U6ndgddUvNcjcG","good 4 u","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:6s84u2TUpR3wdUv4NgKA2j","SOUR","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","2021-05-21","https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a","1","6","178146","","true","81","USUG12101245","spotify:user:andreivillaro","2024-03-12T04:14:01Z"
"spotify:track:5MMLS3xm12D7N26xlfFApr","Runaway Baby","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","spotify:album:1uyf3l2d4XYwiEqAb7t7fX","Doo-Wops & Hooligans","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","2010-05-11","https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b","1","4","148448","https://p.scdn.co/mp3-preview/ee0eec5edbb1a2894069637e049bc8403f3f8f9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USAT21001885","spotify:user:andreivillaro","2024-03-17T05:59:16Z"
